t,v1,h1,v2,h2
-6,nan,nan,nan,nan
-5,nan,nan,nan,nan
-4,nan,nan,nan,nan
-3,nan,nan,nan,nan
-2,nan,nan,nan,nan
-1,nan,nan,nan,nan
0,nan,nan,nan,nan
0,nan,nan,nan,nan
1,nan,nan,nan,nan
2,nan,nan,nan,nan
3,nan,nan,nan,nan
4,nan,nan,nan,nan
5,nan,nan,nan,nan
6,nan,nan,nan,nan
7,nan,nan,nan,nan
8,nan,nan,nan,nan
9,nan,nan,nan,nan
10,nan,nan,nan,nan
11,nan,nan,nan,nan
12,nan,nan,nan,nan
13,nan,nan,nan,nan
14,nan,nan,nan,nan
15,122,0,nan,nan
16,132,0,nan,nan
17,143,0,nan,nan
18,155,0,nan,nan
19,166,0,nan,nan
20,179,0,nan,nan
21,191,0,nan,nan
22,204,0,nan,nan
23,210,0,nan,nan
24,219,0,nan,nan
25,243,0,nan,nan
26,257,0,nan,nan
27,271,0,nan,nan
28,285,0,nan,nan
29,299,1,nan,nan
30,313,1,nan,nan
31,328,1,nan,nan
32,342,1,nan,nan
33,355,1,nan,nan
34,368,1,nan,nan
35,376,1,nan,nan
36,376,1,nan,nan
37,408,1,nan,nan
38,423,1,nan,nan
39,437,2,nan,nan
40,450,2,nan,nan
41,463,2,nan,nan
42,477,2,nan,nan
43,490,2,nan,nan
44,504,2,nan,nan
45,518,2,nan,nan
46,531,3,nan,nan
47,541,3,nan,nan
48,542,3,nan,nan
49,566,3,nan,nan
50,578,3,nan,nan
51,589,3,nan,nan
52,600,3,nan,nan
53,610,4,nan,nan
54,621,4,nan,nan
55,631,4,nan,nan
56,640,4,nan,nan
57,650,4,nan,nan
58,659,4,nan,nan
59,667,5,nan,nan
60,674,5,nan,nan
61,680,5,nan,nan
62,686,5,nan,nan
63,692,5,nan,nan
64,698,6,nan,nan
65,705,6,nan,nan
66,712,6,nan,nan
67,719,6,nan,nan
68,728,6,nan,nan
69,737,6,nan,nan
70,746,7,nan,nan
71,755,7,nan,nan
72,756,7,nan,nan
73,773,7,nan,nan
74,785,7,nan,nan
75,795,8,nan,nan
76,806,8,nan,nan
77,817,8,nan,nan
78,829,8,nan,nan
79,841,9,nan,nan
80,853,9,nan,nan
81,866,9,nan,nan
82,879,9,nan,nan
83,892,9,nan,nan
84,895,9,nan,nan
85,916,10,nan,nan
86,934,10,nan,nan
87,949,10,nan,nan
88,963,11,nan,nan
89,979,11,nan,nan
90,995,11,nan,nan
91,1011,11,nan,nan
92,1028,12,nan,nan
93,1045,12,nan,nan
94,1062,12,nan,nan
95,1079,12,nan,nan
96,1084,12,nan,nan
97,1106,13,nan,nan
98,1130,13,nan,nan
99,1148,13,nan,nan
100,1166,14,nan,nan
101,1183,14,nan,nan
102,1201,14,nan,nan
103,1220,15,nan,nan
104,1238,15,nan,nan
105,1257,15,nan,nan
106,1276,15,nan,nan
107,1296,16,nan,nan
108,1306,16,nan,nan
109,1324,16,nan,nan
110,1355,17,nan,nan
111,1376,17,nan,nan
112,1396,17,nan,nan
113,1417,18,nan,nan
114,1437,18,nan,nan
115,1458,18,nan,nan
116,1479,19,nan,nan
117,1500,19,nan,nan
118,1521,19,nan,nan
119,1543,20,nan,nan
120,1552,20,nan,nan
121,1569,20,nan,nan
122,1607,21,nan,nan
123,1630,21,nan,nan
124,1653,22,nan,nan
125,1676,22,nan,nan
126,1700,22,nan,nan
127,1723,23,nan,nan
128,1747,23,nan,nan
129,1771,23,nan,nan
130,1796,24,nan,nan
131,1820,24,nan,nan
132,1835,24,nan,nan
133,1842,24,nan,nan
134,1891,25,nan,nan
135,1917,26,nan,nan
136,1941,26,nan,nan
137,1965,26,nan,nan
138,1989,27,nan,nan
139,2013,27,nan,nan
140,2036,28,nan,nan
141,2058,28,nan,nan
142,2079,28,nan,nan
143,2099,29,nan,nan
144,2113,29,nan,nan
145,2115,29,nan,nan
146,2141,30,nan,nan
147,2151,30,nan,nan
148,2156,30,nan,nan
149,2157,31,nan,nan
150,2153,31,nan,nan
151,2145,31,nan,nan
152,2133,32,nan,nan
153,2119,32,nan,nan
154,2104,32,nan,nan
155,2089,32,nan,nan
156,2074,33,nan,nan
157,2072,33,nan,nan
158,2046,33,nan,nan
159,2027,33,nan,nan
160,2011,34,nan,nan
161,1994,34,nan,nan
162,1976,34,nan,nan
163,1957,34,nan,nan
164,1939,35,nan,nan
165,1918,35,nan,nan
166,1898,35,nan,nan
167,1876,35,nan,nan
168,1853,35,nan,nan
169,1847,35,nan,nan
170,1816,36,nan,nan
171,1786,36,nan,nan
172,1768,36,nan,nan
173,1754,36,nan,nan
174,1744,37,nan,nan
175,1741,37,nan,nan
176,1744,37,nan,nan
177,1751,37,nan,nan
178,1761,37,nan,nan
179,1771,38,nan,nan
180,1781,38,nan,nan
181,1785,38,nan,nan
182,1787,38,nan,nan
183,1785,38,nan,nan
184,1772,38,nan,nan
185,1753,38,nan,nan
186,1729,38,nan,nan
187,1702,38,nan,nan
188,1674,38,nan,nan
189,1646,39,nan,nan
190,1618,39,nan,nan
191,1593,39,nan,nan
192,1572,39,nan,nan
193,1562,39,nan,nan
194,1561,39,nan,nan
195,1558,39,nan,nan
196,1570,39,nan,nan
197,1590,39,nan,nan
198,1616,39,nan,nan
199,1645,39,nan,nan
200,1675,39,nan,nan
201,1702,39,nan,nan
202,1723,38,nan,nan
203,1739,38,nan,nan
204,1749,38,nan,nan
205,1756,38,nan,nan
206,1756,38,nan,nan
207,1747,38,nan,nan
208,1738,38,nan,nan
209,1727,38,nan,nan
210,1716,38,nan,nan
211,1706,37,nan,nan
212,1699,37,nan,nan
213,1695,37,nan,nan
214,1698,37,nan,nan
215,1705,37,nan,nan
216,1718,36,nan,nan
217,1732,36,nan,nan
218,1733,36,nan,nan
219,1788,36,nan,nan
220,1830,36,nan,nan
221,1870,35,nan,nan
222,1910,35,nan,nan
223,1949,35,nan,nan
224,1984,35,nan,nan
225,2013,34,nan,nan
226,2036,34,nan,nan
227,2051,34,nan,nan
228,2063,33,nan,nan
229,2068,33,nan,nan
230,2069,33,nan,nan
231,2075,33,nan,nan
232,2078,32,nan,nan
233,2079,32,nan,nan
234,2081,31,nan,nan
235,2084,31,nan,nan
236,2088,31,nan,nan
237,2094,30,nan,nan
238,2102,30,nan,nan
239,2115,30,nan,nan
240,2128,29,nan,nan
241,2129,29,nan,nan
242,nan,nan,nan,nan
243,nan,nan,nan,nan
244,nan,nan,nan,nan
245,nan,nan,nan,nan
246,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
